"id_num","id","parentId","text","start_sentence","remainder","index_value","sum_index_value","leaf","animal"
41,"cat.'s.tail.end_in_a_hook","cat.'s.tail","end in a hook","5","'s tail end in a hook",0.004,,1,"cat"
42,"cat.'s.tail.flick","cat.'s.tail","flick","1","'s tail flick",0.004,,1,"cat"
43,"cat.'s.tail.fluff_up","cat.'s.tail","fluff up","1","'s tail fluff up",0.013,,1,"cat"
44,"cat.'s.tail.quiver","cat.'s.tail","quiver","1","'s tail quiver",0.024,,1,"cat"
45,"cat.'s.tail.twitch","cat.'s.tail","twitch","5","'s tail twitch",0.277,,1,"cat"
46,"cat.'s.tail.wag_constantly","cat.'s.tail","wag constantly","5","'s tail wag constantly",0.004,,1,"cat"
47,"cat.'s.tongue","cat.'s","tongue","3,5",,,0.175,0,"cat"
48,"cat.'s.tongue.rough","cat.'s.tongue","rough","3","'s tongue rough",0.124,,1,"cat"
49,"cat.'s.tongue.so_rough","cat.'s.tongue","so rough","3","'s tongue so rough",0.034,,1,"cat"
50,"cat.'s.tongue.stick_out_sometimes","cat.'s.tongue","stick out sometimes","5","'s tongue stick out sometimes",0.017,,1,"cat"
51,"cat.'s.urine_smell","cat.'s","urine smell","5",,,0.064,0,"cat"
52,"cat.'s.urine_smell.like","cat.'s.urine_smell","like","5",,,0.004,0,"cat"
53,"cat.'s.urine_smell.like.death","cat.'s.urine_smell.like","death","5","'s urine smell like death",0,,1,"cat"
54,"cat.'s.urine_smell.like.pine_needles","cat.'s.urine_smell.like","pine needles","5","'s urine smell like pine needles",0.004,,1,"cat"
55,"cat.'s.urine_smell.so_strong","cat.'s.urine_smell","so strong","5","'s urine smell so strong",0.06,,1,"cat"
56,"cat.'s.vomit_smell_like_poop","cat.'s","vomit smell like poop","5","'s vomit smell like poop",0.009,,1,"cat"
57,"cat.a","cat","a","3",,,0.275,0,"cat"
58,"cat.a.good_pet","cat.a","good pet","3","a good pet",0.192,,1,"cat"
59,"cat.a.mammal","cat.a","mammal","3","a mammal",0.083,,1,"cat"
60,"cat.abandon_their_newborn_kittens","cat","abandon their newborn kittens","2","abandon their newborn kittens",0.006,,1,"cat"
61,"cat.act","cat","act","1,2,5",,,0.879,0,"cat"
62,"cat.act.afraid_of_me","cat.act","afraid of me","5","act afraid of me",0.011,,1,"cat"
63,"cat.act.crazy_at_night","cat.act","crazy at night","2","act crazy at night",0.047,,1,"cat"
64,"cat.act.like","cat.act","like","1,2,5",,,0.19,0,"cat"
65,"cat.act.like.a_dog","cat.act.like","a dog","5","act like a dog",0.177,,1,"cat"
66,"cat.act.like.he_is_spraying_but_no_urine_is_coming_out","cat.act.like","he is spraying but no urine is coming out","1","act like he is spraying but no urine is coming out",0.004,,1,"cat"
67,"cat.act.like.in_litter_tray_next_to_food","cat.act.like","in litter tray next to food","2","act like in litter tray next to food",0.004,,1,"cat"
68,"cat.act.like.they_are_fluffing_a_pillow","cat.act.like","they are fluffing a pillow","2","act like they are fluffing a pillow",0.004,,1,"cat"
69,"cat.act.so","cat.act","so","2,5",,,0.107,0,"cat"
70,"cat.act.so.clingy","cat.act.so","clingy","5","act so clingy",0.004,,1,"cat"
71,"cat.act.so.weird","cat.act.so","weird","2","act so weird",0.102,,1,"cat"
72,"cat.act.weird","cat.act","weird","2","act weird",0.483,0.525,1,"cat"
73,"cat.act.weird.on_catnip","cat.act.weird","on catnip","2","act weird on catnip",0.009,,1,"cat"
74,"cat.act.weird.when_you_scratch_their_lower_back","cat.act.weird","when you scratch their lower back","2","act weird when you scratch their lower back",0.034,,1,"cat"
75,"cat.affectionate","cat","affectionate","4","affectionate",0.85,,1,"cat"
76,"cat.afraid_of","cat","afraid of","3,4",,,18.022,0,"cat"
77,"cat.afraid_of.a_cucumber","cat.afraid_of","a cucumber","3","afraid of a cucumber",0.017,,1,"cat"
78,"cat.afraid_of.balloons","cat.afraid_of","balloons","4","afraid of balloons",0.028,,1,"cat"
79,"cat.afraid_of.bananas","cat.afraid_of","bananas","4","afraid of bananas",0.224,,1,"cat"
80,"cat.afraid_of.cucumber","cat.afraid_of","cucumber","4","afraid of cucumber",1.682,,1,"cat"
81,"cat.afraid_of.cucumbers","cat.afraid_of","cucumbers","4","afraid of cucumbers",14.376,,1,"cat"
82,"cat.afraid_of.dogs","cat.afraid_of","dogs","4","afraid of dogs",0.597,,1,"cat"
83,"cat.afraid_of.paper","cat.afraid_of","paper","4","afraid of paper",0.013,,1,"cat"
84,"cat.afraid_of.their_shadow","cat.afraid_of","their shadow","4","afraid of their shadow",0,,1,"cat"
85,"cat.afraid_of.water","cat.afraid_of","water","4","afraid of water",1.084,,1,"cat"
86,"cat.aggressively_attack_his_own_tail","cat","aggressively attack his own tail","5","aggressively attack his own tail",0,,1,"cat"
87,"cat.all_of_a_sudden_hide","cat","all of a sudden hide","2","all of a sudden hide",0,,1,"cat"
88,"cat.alway_get_in_bed_when_i_do","cat","alway get in bed when i do","5","alway get in bed when i do",0,,1,"cat"
89,"cat.always","cat","always","2,3,4,5,6",,,3.116,0,"cat"
90,"cat.always.clean","cat.always","clean","5",,,0.004,0,"cat"
91,"cat.always.clean.herself_beside_me","cat.always.clean","herself beside me","5","always clean herself beside me",0,,1,"cat"
92,"cat.always.clean.the_spot_i_pet_her","cat.always.clean","the spot i pet her","5","always clean the spot i pet her",0.004,,1,"cat"
93,"cat.always.follow_me","cat.always","follow me","5","always follow me",0.224,,1,"cat"
94,"cat.always.have","cat.always","have","5",,,0.017,0,"cat"
95,"cat.always.have.her_tongue_out","cat.always.have","her tongue out","5","always have her tongue out",0.009,,1,"cat"
96,"cat.always.have.his_mouth_open","cat.always.have","his mouth open","5","always have his mouth open",0.009,,1,"cat"
97,"cat.always.hungry","cat.always","hungry","6,3,4","always hungry",1.75,,1,"cat"
98,"cat.always.lick","cat.always","lick","5",,,0.382,0,"cat"
99,"cat.always.lick.me","cat.always.lick","me","5","always lick me",0.365,,1,"cat"
100,"cat.always.lick.my_lips","cat.always.lick","my lips","5","always lick my lips",0.017,,1,"cat"
101,"cat.always.lie_with_her_back_against_something","cat.always","lie with her back against something","5","always lie with her back against something",0.004,,1,"cat"
102,"cat.always.look_mad","cat.always","look mad","2","always look mad",0.038,,1,"cat"
103,"cat.always.meow_like_its_hurting","cat.always","meow like its hurting","5","always meow like its hurting",0.004,,1,"cat"
104,"cat.always.meowing","cat.always","meowing","6","always meowing",0.314,,1,"cat"
105,"cat.always.push_things_off_tables","cat.always","push things off tables","2","always push things off tables",0.006,,1,"cat"
106,"cat.always.put_their_bum_in_your_face","cat.always","put their bum in your face","2","always put their bum in your face",0.028,,1,"cat"
107,"cat.always.run_from_me","cat.always","run from me","5","always run from me",0.041,,1,"cat"
108,"cat.always.shake_her_head","cat.always","shake her head","5","always shake her head",0.004,,1,"cat"
109,"cat.always.sit_on_me","cat.always","sit on me","5","always sit on me",0.175,,1,"cat"
110,"cat.always.sleep_on_my_back","cat.always","sleep on my back","5","always sleep on my back",0.023,,1,"cat"
111,"cat.always.smell_like_pee","cat.always","smell like pee","5","always smell like pee",0.009,,1,"cat"
112,"cat.always.stay_near_me","cat.always","stay near me","5","always stay near me",0.004,,1,"cat"
113,"cat.always.want","cat.always","want","2,5",,,0.087,0,"cat"
114,"cat.always.want.my_food","cat.always.want","my food","5","always want my food",0.064,,1,"cat"
115,"cat.always.want.to_sit_on_my_lap","cat.always.want","to sit on my lap","5","always want to sit on my lap",0.023,,1,"cat"
116,"cat.always.want.your_attention_in_the_bathroom","cat.always.want","your attention in the bathroom","2","always want your attention in the bathroom",0,,1,"cat"
117,"cat.and_dogs","cat","and dogs","2",,,0.774,0,"cat"
118,"cat.and_dogs.fight","cat.and_dogs","fight","2","and dogs fight",0.763,,1,"cat"
119,"cat.and_dogs.sniff_each_others_bums","cat.and_dogs","sniff each others bums","2","and dogs sniff each others bums",0.011,,1,"cat"
120,"cat.appear_to_wag_their_tails","cat","appear to wag their tails","2","appear to wag their tails",0.009,,1,"cat"
121,"cat.arch","cat","arch","1,2",,,0.462,0,"cat"
122,"cat.arch.its_back","cat.arch","its back","1","arch its back",0.047,,1,"cat"
123,"cat.arch.their_backs","cat.arch","their backs","2","arch their backs",0.415,,1,"cat"
124,"cat.ask_for_pets_then_bites_me","cat","ask for pets then bites me","5","ask for pets then bites me",0,,1,"cat"
125,"cat.attack","cat","attack","2,5","attack",3.367,6.312,1,"cat"
126,"cat.attack.humans","cat.attack","humans","2","attack humans",0.156,,1,"cat"
127,"cat.attack.me","cat.attack","me","5","attack me",2.269,2.32,1,"cat"
128,"cat.attack.me.and_no_one_else","cat.attack.me","and no one else","5","attack me and no one else",0.017,,1,"cat"
129,"cat.attack.me.when_i","cat.attack.me","when i","5",,,0.034,0,"cat"
130,"cat.attack.me.when_i.rub_his_belly","cat.attack.me.when_i","rub his belly","5","attack me when i rub his belly",0.011,,1,"cat"
131,"cat.attack.me.when_i.walk_by","cat.attack.me.when_i","walk by","5","attack me when i walk by",0.023,,1,"cat"
132,"cat.attack.my","cat.attack","my","5",,,0.457,0,"cat"
133,"cat.attack.my.feet","cat.attack.my","feet","5","attack my feet",0.39,0.403,1,"cat"
134,"cat.attack.my.feet.in_bed","cat.attack.my.feet","in bed","5","attack my feet in bed",0.013,,1,"cat"
135,"cat.attack.my.hair","cat.attack.my","hair","5","attack my hair",0.045,,1,"cat"
136,"cat.attack.my.rug","cat.attack.my","rug","5","attack my rug",0.009,,1,"cat"
137,"cat.attack.out_of_nowhere","cat.attack","out of nowhere","2","attack out of nowhere",0.013,,1,"cat"
138,"cat.attracted_to_me","cat","attracted to me","4","attracted to me",0.164,,1,"cat"
139,"cat.avoid_eye_contact","cat","avoid eye contact","5","avoid eye contact",0.011,,1,"cat"
140,"cat.back_legs_stop_working","cat","back legs stop working","2","back legs stop working",0.015,,1,"cat"
141,"cat.backs_twitch","cat","backs twitch","2","backs twitch",0.143,,1,"cat"
142,"cat.bad","cat","bad","4",,,0.041,0,"cat"
143,"cat.bad.for_the_environment","cat.bad","for the environment","4","bad for the environment",0.03,,1,"cat"
144,"cat.bad.when_pregnant","cat.bad","when pregnant","4","bad when pregnant",0.011,,1,"cat"
145,"cat.balance_on_one_leg_when_they_pounce","cat","balance on one leg when they pounce","2","balance on one leg when they pounce",0.004,,1,"cat"
146,"cat.bark","cat","bark","5","bark",0.183,,1,"cat"
147,"cat.bathe","cat","bathe","2,5",,,0.352,0,"cat"
148,"cat.bathe.each_other","cat.bathe","each other","2","bathe each other",0.109,,1,"cat"
149,"cat.bathe.me","cat.bathe","me","5","bathe me",0.122,,1,"cat"
150,"cat.bathe.so_much","cat.bathe","so much","2","bathe so much",0.04,,1,"cat"
151,"cat.bathe.themselves","cat.bathe","themselves","2","bathe themselves",0.081,,1,"cat"
152,"cat.become_clingy","cat","become clingy","2","become clingy",0.034,,1,"cat"
153,"cat.beg_for_food_all_day","cat","beg for food all day","5","beg for food all day",0,,1,"cat"
154,"cat.being_sick","cat","being sick","6","being sick",0.715,,1,"cat"
155,"cat.better_than","cat","better than","3,4",,,10.939,0,"cat"
156,"cat.better_than.a_dog","cat.better_than","a dog","3","better than a dog",0.258,,1,"cat"
157,"cat.better_than.dogs","cat.better_than","dogs","4","better than dogs",10.681,,1,"cat"
158,"cat.bite","cat","bite","1,2,5","bite",40.497,65.687,1,"cat"
159,"cat.bite.a_blanket_and_knead_it","cat.bite","a blanket and knead it","5","bite a blanket and knead it",0.036,,1,"cat"
160,"cat.bite.after","cat.bite","after","2,5",,,0.047,0,"cat"
161,"cat.bite.after.licking_me","cat.bite.after","licking me","5","bite after licking me",0.019,,1,"cat"
162,"cat.bite.after.they_lick_you","cat.bite.after","they lick you","2","bite after they lick you",0.028,,1,"cat"
163,"cat.bite.and","cat.bite","and","2,5",,,1.426,0,"cat"
164,"cat.bite.and.lick","cat.bite.and","lick","2,5","bite and lick",0.592,1.268,1,"cat"
165,"cat.bite.and.lick.me","cat.bite.and.lick","me","5","bite and lick me",0.676,,1,"cat"
166,"cat.bite.and.pull_on_her_nails","cat.bite.and","pull on her nails","5","bite and pull on her nails",0.004,,1,"cat"
167,"cat.bite.and.scratch_me","cat.bite.and","scratch me","5","bite and scratch me",0.154,,1,"cat"
168,"cat.bite.ankles","cat.bite","ankles","5","bite ankles",0.205,,1,"cat"
169,"cat.bite.blankets_and_knead","cat.bite","blankets and knead","2","bite blankets and knead",0.304,,1,"cat"
170,"cat.bite.cause_infection","cat.bite","cause infection","1","bite cause infection",0,,1,"cat"
171,"cat.bite.chair_legs_and_things_like_that","cat.bite","chair legs and things like that","2","bite chair legs and things like that",0,,1,"cat"
172,"cat.bite.each_other","cat.bite","each other","2","bite each other",0.481,,1,"cat"
173,"cat.bite.himself","cat.bite","himself","5","bite himself",0.098,,1,"cat"
174,"cat.bite.his","cat.bite","his","5",,,0.03,0,"cat"
175,"cat.bite.his.toenails","cat.bite.his","toenails","5","bite his toenails",0.017,,1,"cat"
176,"cat.bite.his.tongue","cat.bite.his","tongue","5","bite his tongue",0.013,,1,"cat"
177,"cat.bite.humans","cat.bite","humans","2","bite humans",0.187,,1,"cat"
178,"cat.bite.me","cat.bite","me","5","bite me",13.149,14.75,1,"cat"
179,"cat.bite.me.and_not_my_boyfriend","cat.bite.me","and not my boyfriend","5","bite me and not my boyfriend",0.006,,1,"cat"
180,"cat.bite.me.for_attention","cat.bite.me","for attention","5","bite me for attention",0.021,,1,"cat"
181,"cat.bite.me.then_lick_me","cat.bite.me","then lick me","5","bite me then lick me",1.061,,1,"cat"
182,"cat.bite.me.when_i","cat.bite.me","when i","5",,,0.511,0,"cat"
183,"cat.bite.me.when_i.get_out_of_the_shower","cat.bite.me.when_i","get out of the shower","5","bite me when i get out of the shower",0.009,,1,"cat"
184,"cat.bite.me.when_i.pet_him","cat.bite.me.when_i","pet him","5","bite me when i pet him",0.498,,1,"cat"
185,"cat.bite.me.when_i.play_music","cat.bite.me.when_i","play music","5","bite me when i play music",0.004,,1,"cat"
186,"cat.bite.my","cat.bite","my","5",,,2.855,0,"cat"
187,"cat.bite.my.ankles_when_i_walk","cat.bite.my","ankles when i walk","5","bite my ankles when i walk",0.009,,1,"cat"
188,"cat.bite.my.blanket_and_knead_it","cat.bite.my","blanket and knead it","5","bite my blanket and knead it",0.113,,1,"cat"
189,"cat.bite.my.chin","cat.bite.my","chin","5","bite my chin",0.21,,1,"cat"
190,"cat.bite.my.hair","cat.bite.my","hair","5","bite my hair",0.742,,1,"cat"
191,"cat.bite.my.hand","cat.bite.my","hand","5","bite my hand",0.708,,1,"cat"
192,"cat.bite.my.legs","cat.bite.my","legs","5","bite my legs",0.293,,1,"cat"
193,"cat.bite.my.nose","cat.bite.my","nose","5","bite my nose",0.78,,1,"cat"
194,"cat.bite.other_cats","cat.bite","other cats","2","bite other cats",0.791,,1,"cat"
195,"cat.bite.others_on_the_butt","cat.bite","others on the butt","2","bite others on the butt",0.004,,1,"cat"
196,"cat.bite.people","cat.bite","people","2","bite people",0.247,,1,"cat"
197,"cat.bite.the_couch","cat.bite","the couch","5","bite the couch",0.013,,1,"cat"
198,"cat.bite.their","cat.bite","their","2",,,1.108,0,"cat"
199,"cat.bite.their.feet","cat.bite.their","feet","2","bite their feet",0.087,,1,"cat"
200,"cat.bite.their.fur","cat.bite.their","fur","2","bite their fur",0.205,,1,"cat"
201,"cat.bite.their.owners","cat.bite.their","owners","2","bite their owners",0.68,,1,"cat"
202,"cat.bite.their.tail","cat.bite.their","tail","2","bite their tail",0.111,,1,"cat"
203,"cat.bite.their.tongues","cat.bite.their","tongues","2","bite their tongues",0.026,,1,"cat"
204,"cat.bite.then_lick","cat.bite","then lick","2","bite then lick",0.91,1.308,1,"cat"
205,"cat.bite.then_lick.you","cat.bite.then_lick","you","2","bite then lick you",0.398,,1,"cat"
206,"cat.bite.toes","cat.bite","toes","2","bite toes",0.141,,1,"cat"
207,"cat.bite.when","cat.bite","when","2,5",,,0.954,0,"cat"
208,"cat.bite.when.being_pet","cat.bite.when","being pet","2","bite when being pet",0.062,,1,"cat"
209,"cat.bite.when.happy","cat.bite.when","happy","2","bite when happy",0.162,,1,"cat"
210,"cat.bite.when.i_shout","cat.bite.when","i shout","5","bite when i shout",0.004,,1,"cat"
211,"cat.bite.when.they_groom","cat.bite.when","they groom","2","bite when they groom",0.019,,1,"cat"
212,"cat.bite.when.you_pet_them","cat.bite.when","you pet them","2","bite when you pet them",0.707,,1,"cat"
213,"cat.bite.your","cat.bite","your","2",,,0.202,0,"cat"
214,"cat.bite.your.ankles","cat.bite.your","ankles","2","bite your ankles",0.023,,1,"cat"
215,"cat.bite.your.feet","cat.bite.your","feet","2","bite your feet",0.096,,1,"cat"
216,"cat.bite.your.fingers","cat.bite.your","fingers","2","bite your fingers",0.083,,1,"cat"
217,"cat.biting","cat","biting","6",,,1.312,0,"cat"
218,"cat.biting.her_hair_out","cat.biting","her hair out","6","biting her hair out",0.026,,1,"cat"
219,"cat.biting.me","cat.biting","me","6","biting me",1.287,,1,"cat"
220,"cat.blink","cat","blink","2,5","blink",0.846,0.859,1,"cat"
221,"cat.blink.at","cat.blink","at","2,5",,,0.013,0,"cat"
222,"cat.blink.at.me_when_i'm_talking_to_her","cat.blink.at","me when i'm talking to her","5","blink at me when i'm talking to her",0,,1,"cat"
223,"cat.blink.at.us","cat.blink.at","us","2","blink at us",0.013,,1,"cat"
224,"cat.bond_to_one_person","cat","bond to one person","2","bond to one person",0.019,,1,"cat"
225,"cat.bop_my_feet_every_time_i_walk_by","cat","bop my feet every time i walk by","5","bop my feet every time i walk by",0.004,,1,"cat"
226,"cat.box_me","cat","box me","5","box me",0.396,,1,"cat"
227,"cat.breath","cat","breath","1,2,5",,,0.41,0,"cat"
228,"cat.breath.smell","cat.breath","smell","2,5","breath smell",0.378,0.406,1,"cat"
229,"cat.breath.smell.like_fish","cat.breath.smell","like fish","2","breath smell like fish",0.028,,1,"cat"
230,"cat.breath.with_mouth_open","cat.breath","with mouth open","1","breath with mouth open",0.004,,1,"cat"
231,"cat.breathe_heavily","cat","breathe heavily","1","breathe heavily",0.011,,1,"cat"
232,"cat.breathing_fast","cat","breathing fast","6","breathing fast",0.576,,1,"cat"
233,"cat.bring","cat","bring","2,5",,,5.666,0,"cat"
234,"cat.bring.dead","cat.bring","dead","2,5",,,2.73,0,"cat"
235,"cat.bring.dead.animals","cat.bring.dead","animals","2,5","bring dead animals",1.891,2.464,1,"cat"
236,"cat.bring.dead.animals.home","cat.bring.dead.animals","home","2","bring dead animals home",0.405,,1,"cat"
237,"cat.bring.dead.animals.into_the_house","cat.bring.dead.animals","into the house","2","bring dead animals into the house",0.013,,1,"cat"
238,"cat.bring.dead.animals.to","cat.bring.dead.animals","to","2,5",,,0.156,0,"cat"
239,"cat.bring.dead.animals.to.me","cat.bring.dead.animals.to","me","5","bring dead animals to me",0.03,,1,"cat"
240,"cat.bring.dead.animals.to.their_owners","cat.bring.dead.animals.to","their owners","2","bring dead animals to their owners",0.126,,1,"cat"
241,"cat.bring.dead.birds","cat.bring.dead","birds","2","bring dead birds",0.224,0.228,1,"cat"
242,"cat.bring.dead.birds.to_your_front_door","cat.bring.dead.birds","to your front door","2","bring dead birds to your front door",0.004,,1,"cat"
243,"cat.bring.dead.mice_home","cat.bring.dead","mice home","2","bring dead mice home",0.038,,1,"cat"
244,"cat.bring.dead.things","cat.bring.dead","things","2,5",,,0,0,"cat"
245,"cat.bring.dead.things.inside","cat.bring.dead.things","inside","5","bring dead things inside",0,,1,"cat"
246,"cat.bring.dead.things.to_the_door","cat.bring.dead.things","to the door","2","bring dead things to the door",0,,1,"cat"
247,"cat.bring.gifts","cat.bring","gifts","2","bring gifts",0.181,,1,"cat"
248,"cat.bring.her_kittens_to_me","cat.bring","her kittens to me","5","bring her kittens to me",0.015,,1,"cat"
249,"cat.bring.home_dead_animals","cat.bring","home dead animals","2","bring home dead animals",0.405,,1,"cat"
250,"cat.bring.in","cat.bring","in","2",,,0.151,0,"cat"
251,"cat.bring.in.leaves","cat.bring.in","leaves","2","bring in leaves",0.011,,1,"cat"
252,"cat.bring.in.mice","cat.bring.in","mice","2","bring in mice",0.141,,1,"cat"
253,"cat.bring.me_stuff","cat.bring","me stuff","5","bring me stuff",0.011,,1,"cat"
254,"cat.bring.mice","cat.bring","mice","2","bring mice",1.117,1.438,1,"cat"
255,"cat.bring.mice.home","cat.bring.mice","home","2","bring mice home",0.317,,1,"cat"
256,"cat.bring.mice.to_my_bed","cat.bring.mice","to my bed","2","bring mice to my bed",0.004,,1,"cat"
257,"cat.bring.their_kills_home","cat.bring","their kills home","2","bring their kills home",0.019,,1,"cat"
258,"cat.bring.you_dead_animals","cat.bring","you dead animals","2","bring you dead animals",0.716,,1,"cat"
259,"cat.brush","cat","brush","2,5",,,0.011,0,"cat"
260,"cat.brush.me_with_her_tail","cat.brush","me with her tail","5","brush me with her tail",0.006,,1,"cat"
261,"cat.brush.up_on_things","cat.brush","up on things","2","brush up on things",0.004,,1,"cat"
262,"cat.bury","cat","bury","2",,,1.283,0,"cat"
263,"cat.bury.poop","cat.bury","poop","2","bury poop",0.65,,1,"cat"
264,"cat.bury.shit","cat.bury","shit","2","bury shit",0.017,,1,"cat"
265,"cat.bury.their","cat.bury","their","2",,,0.582,0,"cat"
266,"cat.bury.their.food_after_eating","cat.bury.their","food after eating","2","bury their food after eating",0.013,,1,"cat"
267,"cat.bury.their.poop","cat.bury.their","poop","2","bury their poop",0.539,,1,"cat"
268,"cat.bury.their.waste","cat.bury.their","waste","2","bury their waste",0.03,,1,"cat"
269,"cat.bury.things","cat.bury","things","2","bury things",0.034,,1,"cat"
270,"cat.butt_my_chin_with_his_head","cat","butt my chin with his head","5","butt my chin with his head",0.004,,1,"cat"
271,"cat.cackle_when_see_a_bird_or_fly","cat","cackle when see a bird or fly","2","cackle when see a bird or fly",0,,1,"cat"
272,"cat.called","cat","called","3,4",,,5.065,0,"cat"
273,"cat.called.a","cat.called","a","3",,,2.459,0,"cat"
274,"cat.called.a.cat","cat.called.a","cat","3","called a cat",2.418,,1,"cat"
275,"cat.called.a.queen","cat.called.a","queen","3","called a queen",0.041,,1,"cat"
276,"cat.called.cats","cat.called","cats","4","called cats",2.606,,1,"cat"
277,"cat.carry_clothes_around","cat","carry clothes around","2","carry clothes around",0.009,,1,"cat"
278,"cat.caterwaul_when_bringing_a_toy","cat","caterwaul when bringing a toy","2","caterwaul when bringing a toy",0.004,,1,"cat"
279,"cat.change_their_eyes","cat","change their eyes","2","change their eyes",0.049,,1,"cat"
280,"cat.chase","cat","chase","1,2,5",,,1.155,0,"cat"
281,"cat.chase.his_tail","cat.chase","his tail","1","chase his tail",0.026,,1,"cat"
282,"cat.chase.imaginary_things","cat.chase","imaginary things","2","chase imaginary things",0.009,,1,"cat"
283,"cat.chase.lasers","cat.chase","lasers","2","chase lasers",0.278,,1,"cat"
284,"cat.chase.mice","cat.chase","mice","2","chase mice",0.109,,1,"cat"
285,"cat.chase.my_other_cat","cat.chase","my other cat","5","chase my other cat",0.043,,1,"cat"
286,"cat.chase.their_tails","cat.chase","their tails","2","chase their tails",0.692,,1,"cat"
287,"cat.chatter","cat","chatter","2,5","chatter",1.775,1.931,1,"cat"
288,"cat.chatter.at","cat.chatter","at","5",,,0.12,0,"cat"
289,"cat.chatter.at.birds","cat.chatter.at","birds","5","chatter at birds",0.066,,1,"cat"
290,"cat.chatter.at.me","cat.chatter.at","me","5","chatter at me",0.053,,1,"cat"
291,"cat.chatter.to_birds","cat.chatter","to birds","2","chatter to birds",0.036,,1,"cat"
292,"cat.chew","cat","chew","2,5",,,2.798,0,"cat"
293,"cat.chew.cords","cat.chew","cords","5","chew cords",0.156,,1,"cat"
294,"cat.chew.human_hair","cat.chew","human hair","2","chew human hair",0.013,,1,"cat"
